id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper,final_spin,final_spin_lower,final_spin_upper,sky_area_(deg^2)
GW200202_154313-v1,GW200202_154313,1,GWTC-3-confident,1264693411.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200202_154313/v1,10.1,-1.4,3.5,7.3,-1.7,1.1,10.8,-0.4,0.2,410,-160,150,0.04,-0.06,0.13,17.6,-0.7,1.8,7.5,-0.2,0.2,0.09,-0.03,0.03,1.00E-05,0.99,16.8,-0.7,1.9,0.69,-0.04,0.03,160
GW200208_130117-v1,GW200208_130117,1,GWTC-3-confident,1265202095.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_130117/v1,37.7,-6.2,9.3,27.4,-7.3,6.3,10.8,-0.4,0.3,"2,230",-850,"1,020",-0.07,-0.27,0.21,65.3,-6.8,8.1,27.7,-3.1,3.7,0.40,-0.14,0.15,3.10E-04,0.99,62.5,-6.4,7.5,0.66,-0.12,0.09,48
GW200208_222617-v1,GW200208_222617,1,GWTC-3-confident,1265235995.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_222617/v1,51.0,-30.0,103.0,12.3,-5.5,9.2,7.4,-1.2,1.4,"4,100","-2,000","4,400",0.45,-0.46,0.42,63.0,-26.0,100.0,19.8,-5.2,10.5,0.66,-0.29,0.53,4.80E+00,0.70,61.0,-26.0,99.0,0.83,-0.26,0.14,"1,900"
GW200209_085452-v1,GW200209_085452,1,GWTC-3-confident,1265273710.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200209_085452/v1,35.6,-6.8,10.5,27.1,-7.8,7.8,9.6,-0.5,0.4,"3,400","-1,800","1,900",-0.12,-0.30,0.24,62.6,-9.4,13.9,26.7,-4.2,6.0,0.57,-0.26,0.25,4.60E-02,0.97,59.9,-8.9,13.1,0.66,-0.12,0.10,730
GW200210_092254-v1,GW200210_092254,1,GWTC-3-confident,1265361792.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200210_092254/v1,24.1,-4.6,7.5,2.8,-0.4,0.5,8.4,-0.7,0.5,940,-340,430,0.02,-0.21,0.22,27.0,-4.3,7.1,6.6,-0.4,0.4,0.19,-0.06,0.08,1.20E+00,0.54,26.7,-4.3,7.2,0.34,-0.08,0.13,"1,800"
GW200216_220804-v1,GW200216_220804,1,GWTC-3-confident,1265926102.8,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200216_220804/v1,51.0,-13.0,22.0,30.0,-16.0,14.0,8.1,-0.5,0.4,"3,800","-2,000","3,000",0.10,-0.36,0.34,81.0,-14.0,20.0,32.9,-8.5,9.3,0.63,-0.29,0.37,3.50E-01,0.77,78.0,-13.0,19.0,0.70,-0.24,0.14,"2,900"
GW200219_094415-v1,GW200219_094415,1,GWTC-3-confident,1266140673.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,37.5,-6.9,10.1,27.9,-8.4,7.4,10.7,-0.5,0.3,"3,400","-1,500","1,700",-0.08,-0.29,0.23,65.0,-8.2,12.6,27.6,-3.8,5.6,0.57,-0.22,0.22,9.90E-04,0.99,62.2,-7.8,11.7,0.66,-0.13,0.10,700
GW200220_061928-v1,GW200220_061928,1,GWTC-3-confident,1266214786.7,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_061928/v1,87.0,-23.0,40.0,61.0,-25.0,26.0,7.2,-0.7,0.4,"6,000","-3,100","4,800",0.06,-0.38,0.40,148.0,-33.0,55.0,62.0,-15.0,23.0,0.90,-0.40,0.55,6.80E+00,0.62,141.0,-31.0,51.0,0.71,-0.17,0.15,"3,000"
GW200220_124850-v1,GW200220_124850,1,GWTC-3-confident,1266238148.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_124850/v1,38.9,-8.6,14.1,27.9,-9.0,9.2,8.5,-0.5,0.3,"4,000","-2,200","2,800",-0.07,-0.33,0.27,67.0,-12.0,17.0,28.2,-5.1,7.3,0.66,-0.31,0.36,3.00E+01,0.83,64.0,-11.0,16.0,0.67,-0.14,0.11,"3,200"
GW200224_222234-v1,GW200224_222234,1,GWTC-3-confident,1266618172.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,40.0,-4.5,6.7,32.7,-7.2,4.8,20.0,-0.2,0.2,"1,710",-650,500,0.10,-0.16,0.15,72.3,-5.3,7.2,31.1,-2.7,3.3,0.32,-0.11,0.08,1.00E-05,0.99,68.7,-4.8,6.7,0.73,-0.07,0.06,51
GW200225_060421-v1,GW200225_060421,1,GWTC-3-confident,1266645879.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1,19.3,-3.0,5.0,14.0,-3.5,2.8,12.5,-0.4,0.3,"1,150",-530,510,-0.12,-0.28,0.17,33.5,-3.0,3.6,14.2,-1.4,1.5,0.22,-0.10,0.09,1.10E-05,0.99,32.1,-2.8,3.5,0.66,-0.13,0.07,370
GW200302_015811-v1,GW200302_015811,1,GWTC-3-confident,1267149509.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1,37.8,-8.5,8.7,20.0,-5.7,8.1,10.8,-0.4,0.3,"1,480",-700,"1,020",0.01,-0.26,0.25,57.8,-6.9,9.6,23.4,-3.0,4.7,0.28,-0.12,0.16,1.10E-01,0.91,55.5,-6.6,8.9,0.66,-0.15,0.13,"6,000"
GW200306_093714-v1,GW200306_093714,1,GWTC-3-confident,1267522652.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200306_093714/v1,28.3,-7.7,17.1,14.8,-6.4,6.5,7.8,-0.6,0.4,"2,100","-1,100","1,700",0.32,-0.46,0.28,43.9,-7.5,11.8,17.5,-3.0,3.5,0.38,-0.18,0.24,2.40E+01,0.81,41.7,-6.9,12.3,0.78,-0.26,0.11,"4,600"
GW200308_173609-v1,GW200308_173609,1,GWTC-3-confident,1267724187.7,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200308_173609/v1,60.0,-29.0,166.0,24.0,-13.0,36.0,4.7,-2.9,2.5,"7,100","-4,400","13,900",0.16,-0.49,0.58,92.0,-48.0,169.0,34.0,-18.0,44.0,1.04,-0.57,1.47,2.40E+00,0.86,88.0,-47.0,169.0,0.72,-0.35,-0.22,"12,000"
GW200311_115853-v1,GW200311_115853,1,GWTC-3-confident,1267963151.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1,34.2,-3.8,6.4,27.7,-5.9,4.1,17.8,-0.2,0.2,"1,170",-400,280,-0.02,-0.20,0.16,61.9,-4.2,5.3,26.6,-2.0,2.4,0.23,-0.07,0.05,1.00E-05,0.99,59.0,-3.9,4.8,0.69,-0.08,0.07,35
GW200316_215756-v1,GW200316_215756,1,GWTC-3-confident,1268431094.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200316_215756/v1,13.1,-2.9,10.2,7.8,-2.9,2.0,10.3,-0.7,0.4,"1,120",-440,480,0.13,-0.10,0.27,21.2,-2.0,7.2,8.8,-0.6,0.6,0.22,-0.08,0.08,1.00E-05,0.99,20.2,-1.9,7.4,0.70,-0.04,0.04,190
GW200322_091133-v1,GW200322_091133,1,GWTC-3-confident,1268903511.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200322_091133/v1,38.0,-22.0,130.0,11.3,-6.0,24.3,4.5,-3.0,2.7,"3,500","-2,200","12,500",0.27,-0.58,0.54,50.0,-22.0,132.0,15.0,-4.0,29.5,0.59,-0.32,1.43,1.40E+02,0.62,48.0,-22.0,132.0,0.77,-0.39,0.19,"18,000"
